#"Inelastic"
#"e + Ar -> Ar+ + e + e"
#403
#16.0     ,
#0.00000000e+00 0.00000000e+00 
1.60000000e+01 0.00000000e+00 
1.63000000e+01 3.68000000e-22 
1.71000000e+01 1.41000000e-21 
1.79000000e+01 2.70000000e-21 
1.87000000e+01 4.10000000e-21 
1.96000000e+01 5.60000000e-21 
2.05000000e+01 7.14000000e-21 
2.15000000e+01 8.55000000e-21 
2.25000000e+01 9.94000000e-21 
2.36000000e+01 1.12000000e-20 
2.47000000e+01 1.26000000e-20 
2.59000000e+01 1.39000000e-20 
2.71000000e+01 1.51000000e-20 
2.84000000e+01 1.64000000e-20 
2.97000000e+01 1.77000000e-20 
3.11000000e+01 1.89000000e-20 
3.26000000e+01 2.00000000e-20 
3.41000000e+01 2.12000000e-20 
3.58000000e+01 2.23000000e-20 
3.74000000e+01 2.31000000e-20 
3.92000000e+01 2.37000000e-20 
4.11000000e+01 2.41000000e-20 
4.30000000e+01 2.45000000e-20 
4.51000000e+01 2.49000000e-20 
4.72000000e+01 2.50000000e-20 
4.94000000e+01 2.53000000e-20 
5.18000000e+01 2.55000000e-20 
5.42000000e+01 2.58000000e-20 
5.68000000e+01 2.61000000e-20 
5.95000000e+01 2.65000000e-20 
6.23000000e+01 2.69000000e-20 
6.52000000e+01 2.73000000e-20 
6.83000000e+01 2.75000000e-20 
7.16000000e+01 2.78000000e-20 
7.50000000e+01 2.81000000e-20 
7.85000000e+01 2.83000000e-20 
8.22000000e+01 2.84000000e-20 
8.61000000e+01 2.85000000e-20 
9.02000000e+01 2.86000000e-20 
9.45000000e+01 2.86000000e-20 
9.90000000e+01 2.85000000e-20 
1.04000000e+02 2.84000000e-20 
1.09000000e+02 2.83000000e-20 
1.14000000e+02 2.82000000e-20 
1.19000000e+02 2.81000000e-20 
1.25000000e+02 2.79000000e-20 
1.31000000e+02 2.76000000e-20 
1.37000000e+02 2.74000000e-20 
1.43000000e+02 2.71000000e-20 
1.50000000e+02 2.68000000e-20 
1.57000000e+02 2.64000000e-20 
1.65000000e+02 2.59000000e-20 
1.72000000e+02 2.55000000e-20 
1.81000000e+02 2.51000000e-20 
1.89000000e+02 2.46000000e-20 
1.98000000e+02 2.40000000e-20 
2.08000000e+02 2.36000000e-20 
2.17000000e+02 2.31000000e-20 
2.28000000e+02 2.27000000e-20 
2.38000000e+02 2.22000000e-20 
2.50000000e+02 2.17000000e-20 
2.62000000e+02 2.13000000e-20 
2.74000000e+02 2.08000000e-20 
2.87000000e+02 2.03000000e-20 
3.00000000e+02 1.98000000e-20 
3.15000000e+02 1.93000000e-20 
3.30000000e+02 1.88000000e-20 
3.45000000e+02 1.83000000e-20 
3.62000000e+02 1.78000000e-20 
3.79000000e+02 1.74000000e-20 
3.97000000e+02 1.69000000e-20 
4.16000000e+02 1.64000000e-20 
4.35000000e+02 1.59000000e-20 
4.56000000e+02 1.54000000e-20 
4.77000000e+02 1.50000000e-20 
5.00000000e+02 1.46000000e-20 
1.00000000e+04 1.46000000e-20 
