tag,lmb1,lmb2,nonzero_count,complexity_norm,train_gen_window,cv5_error,equation,coefficients,iteration,p_lo_eff,p_hi_eff,f_lo_eff,f_hi_eff
193_0a4f91ae,0.1,0.004303917,2,0.016129032,0.595366591,0.580747984,0.034417 E^{0.5} n P^{-0.5} + 0.0074571 n E^{0.5} T_{e}^{0.5} T_{i},"[0.08853770196435817, 5.742101244613287e-10, 1.9145563539136125e-09, -1.6525248715236232e-08, 2.537018937739822e-09, 2.4734188573703484e-09, 1.6764270496370307e-09, 2.3859433037719328e-09, 1.4962790146311544e-09, 1.6214336813133243e-09, -1.9734472723347815e-09, 6.893714495094063e-10, -7.267500318042577e-11, -1.5113343367095528e-09, -1.8583132103668575e-09, -1.9324847394228665e-09, -1.4768245221325599e-09, -1.4903497719242024e-09, -1.8467113993456924e-09, -1.2766559950943243e-09, -1.9461856072138977e-09, -1.6660519973044217e-09, -1.9144434250313792e-09, 5.4429052412025883e-11, -2.1064568293953197e-09, -1.6585858043345046e-09, -1.0968680148535044e-09, 9.510180468502448e-10, -1.7728014357098353e-09, 3.876506764744782e-10, -6.255072631936823e-10, -8.427353999429342e-10, -4.764618192141967e-11, 5.578271737878262e-11, 2.5060728835226527e-10, 2.8308544307190897e-10, 3.3182498994197317e-10, -9.069669743439896e-10, 4.807957494331593e-10, 2.397518099853913e-11, -7.338996010149717e-10, 3.388295314831666e-10, -1.4163186220094363e-09, -5.365165892655613e-10, 4.112903088487723e-10, -1.2233528094299365e-07, -1.560465244413703e-07, -2.313745345350211e-08, -5.287508882698144e-08, -1.6295702652664761e-07, -3.498463274402265e-07, -2.4842920739207943e-08, -2.5700463172663878e-08, -1.1443572353270468e-07, -2.4651136919534002e-08, -5.2443216511482074e-08, -1.9759003944200333e-07, -2.4985804694563467e-07, -3.293117498440433e-08, -3.471329932735271e-07, -1.7168065193887568e-06, -2.651928984325044e-08, -1.393888920389203e-07, -3.2072315992755234e-08, -5.83859927671906e-07, -6.037852490846576e-07, -1.435124317674419e-07, 3.2294526028179383e-08, 6.308432753964671e-08, 3.622026348177137e-08, 1.287104717515405e-07, 1.0331514125070262e-07, 2.10779636831498e-08, 4.105169718572502e-07, 2.303323425741508e-08, 2.2193609730047008e-07, 0.005098121479938878, 1.0962683159048904e-07, 6.104600483655879e-07, 6.106321801021438e-08, 1.4622123102989337e-07, 2.5203980175683867e-08, 3.91574762266621e-07, 8.813653339262487e-08, 3.4157825745965545e-07, 1.3797101357619057e-05, 0.01689699071070075]",193,0.129677534,1.945163012,0.206593409,1.652747273
453_4c478f06,0.1,6.94E-08,2,0.016129032,0.595591402,0.581042159,0.034996 E^{0.5} n P^{-0.5} + 0.0070209 n E^{0.5} T_{e}^{0.5} T_{i},"[0.08853770169833225, 1.5703854146686062e-09, 5.232774268107064e-09, -4.55953754853827e-08, 6.938549527566092e-09, 6.75946988503177e-09, 4.576859574642112e-09, 6.523076303216887e-09, 4.081446872585023e-09, 4.463857773084609e-09, -5.38762061815988e-09, 1.9367197362610547e-09, -1.5033617675062245e-10, -4.1190011562262066e-09, -5.069315455863302e-09, -5.27549737871016e-09, -4.0214098316058516e-09, -4.0617248213180625e-09, -5.037421533693023e-09, -3.4708354107182645e-09, -5.31264374411695e-09, -4.540955442038591e-09, -5.225957287000459e-09, 1.8605694291718984e-10, -5.754780153505422e-09, -4.520449222196885e-09, -3.016552424962226e-09, 2.616995466839879e-09, -4.877479907388508e-09, 1.0745336399705649e-09, -1.7256777911550205e-09, -2.330089716868645e-09, -1.3454588070176056e-10, 1.37236883894351e-10, 6.64215063142646e-10, 7.610784242743409e-10, 8.850590643157427e-10, -2.494363163179652e-09, 1.3293130379900087e-09, 6.113346138066854e-11, -2.03454900342713e-09, 9.059892448856257e-10, -3.8983642698000344e-09, -1.4900247914326357e-09, 1.1045624575891084e-09, -3.292923273222474e-07, -4.311502822913736e-07, -6.382602864504648e-08, -1.4456461911132908e-07, -4.5730318075870096e-07, -1.0327580759672442e-06, -6.854834583950458e-08, -7.061941076903161e-08, -3.1747839878505085e-07, -6.805157179811401e-08, -1.4304628529583062e-07, -5.580005891837893e-07, -7.005380059725753e-07, -9.025158408830995e-08, -1.0573805473862397e-06, -8.520033513603078e-06, -7.317114348380529e-08, -3.8668966788356933e-07, -8.776343291151873e-08, -2.0169785120527476e-06, -1.878315893282848e-06, -3.9666850004811065e-07, 8.812753083618789e-08, 1.7314550638855224e-07, 9.888944598158227e-08, 3.522475597116808e-07, 2.824394618360234e-07, 5.812434824896724e-08, 1.1157316844154787e-06, 6.297209452140397e-08, 6.029836410157807e-07, 0.004799898950203234, 2.9906118503137176e-07, 1.610928250126829e-06, 1.660979844698264e-07, 4.0159842519135184e-07, 6.949230161931079e-08, 1.159789476596939e-06, 2.431389381120515e-07, 9.852141044314547e-07, 6.163180401860451e-05, 0.017181335653579655]",453,0.129677534,1.945163012,0.206593409,1.652747273
37_08d9d73c,0.1,1.00E-08,2,0.016129032,0.595591402,0.58104216,0.034996 E^{0.5} n P^{-0.5} + 0.0070209 n E^{0.5} T_{e}^{0.5} T_{i},"[0.08853770169833258, 1.5703851941454478e-09, 5.232773546716278e-09, -4.559537666455338e-08, 6.938548807103131e-09, 6.7594692221577964e-09, 4.576858885842991e-09, 6.523075617317833e-09, 4.081446226800376e-09, 4.463857624337054e-09, -5.3876200547864695e-09, 1.936720103967995e-09, -1.5033559431848594e-10, -4.119000690719737e-09, -5.0693149171133396e-09, -5.275496846303783e-09, -4.0214093490525695e-09, -4.061724361867808e-09, -5.037420997082851e-09, -3.470834930787979e-09, -5.3126432069494965e-09, -4.540954936374529e-09, -5.225956744715497e-09, 1.860572953020137e-10, -5.754779585424618e-09, -4.520448717213135e-09, -3.016552278556303e-09, 2.616995416395937e-09, -4.877479689459064e-09, 1.0745338008660862e-09, -1.7256777428346413e-09, -2.330089696448125e-09, -1.3454583706166359e-10, 1.3723676654444112e-10, 6.642148553947247e-10, 7.610782848869978e-10, 8.850588289318859e-10, -2.4943630389102904e-09, 1.3293131643859559e-09, 6.11334808228143e-11, -2.034549023317482e-09, 9.059890201170984e-10, -3.898364103136859e-09, -1.4900248229352154e-09, 1.1045622186281273e-09, -3.292922234277756e-07, -4.3115021834950505e-07, -6.382603022956732e-08, -1.4456460377845307e-07, -4.5730312832535596e-07, -1.032757330281252e-06, -6.85483478737082e-08, -7.061940774292823e-08, -3.1747840369804513e-07, -6.805157432402136e-08, -1.430462655942563e-07, -5.580004569537998e-07, -7.005377451604302e-07, -9.02515771537827e-08, -1.0573797665377468e-06, -8.519993573485592e-06, -7.317114560446101e-08, -3.866896689691465e-07, -8.77634243922596e-08, -2.016974947796296e-06, -1.8783128774285924e-06, -3.966685047453247e-07, 8.812751852504648e-08, 1.7314549620452514e-07, 9.888943276959966e-08, 3.5224752460074606e-07, 2.82439429702178e-07, 5.812434889759903e-08, 1.1157313608217505e-06, 6.297208736737293e-08, 6.029835103886512e-07, 0.004799896274216792, 2.9906114201226847e-07, 1.6109270197089894e-06, 1.660979552599276e-07, 4.015983667786525e-07, 6.949230279948979e-08, 1.1597885846053725e-06, 2.431389461522451e-07, 9.8521346331415e-07, 6.163132431661297e-05, 0.017181339530794988]",37,0.129677534,1.945163012,0.206593409,1.652747273
171_832f5a81,0.1,4.67E-07,2,0.016129032,0.595591466,0.581042209,0.034996 E^{0.5} n P^{-0.5} + 0.007021 n E^{0.5} T_{e}^{0.5} T_{i},"[0.08853770169833008, 1.5703868885085201e-09, 5.232779089430821e-09, -4.5595367604561534e-08, 6.938554342685498e-09, 6.7594743152605874e-09, 4.576864178142639e-09, 6.523080887331576e-09, 4.08145118860323e-09, 4.463858767220661e-09, -5.387624383388077e-09, 1.936717278742749e-09, -1.5034006935652071e-10, -4.1190042673752704e-09, -5.069319056544354e-09, -5.2755009369774435e-09, -4.021413056682903e-09, -4.06172789199487e-09, -5.037425120072567e-09, -3.4708386182694567e-09, -5.3126473342031964e-09, -4.5409588215648674e-09, -5.2259609112862184e-09, 1.8605458780177597e-10, -5.754783950196908e-09, -4.5204525971835365e-09, -3.0165534034493677e-09, 2.6169958039752297e-09, -4.877481363894538e-09, 1.0745325646442091e-09, -1.7256781141007907e-09, -2.330089853348938e-09, -1.3454617236564123e-10, 1.3723766818362387e-10, 6.642164515892693e-10, 7.610793558484951e-10, 8.850606374688552e-10, -2.4943639937188645e-09, 1.329312193237256e-09, 6.113333144040798e-11, -2.03454887049656e-09, 9.059907470911213e-10, -3.8983653836737545e-09, -1.4900245808914363e-09, 1.1045640546475968e-09, -3.2929302168959425e-07, -4.3115070964333166e-07, -6.382601805514844e-08, -1.4456472158680435e-07, -4.5730353119708106e-07, -1.0327630597165702e-06, -6.854833224421118e-08, -7.061943099362832e-08, -3.174783659513119e-07, -6.805155491659104e-08, -1.4304641696895637e-07, -5.580014729353835e-07, -7.005397490967697e-07, -9.025163043441501e-08, -1.057385766158238e-06, -8.52030045338678e-06, -7.317112931072671e-08, -3.866896606319912e-07, -8.776348984892803e-08, -2.0170023336434094e-06, -1.878336049718241e-06, -3.9666846865890684e-07, 8.812761311621398e-08, 1.731455744525168e-07, 9.8889534282265e-08, 3.522477943728495e-07, 2.824396765994178e-07, 5.8124343913966555e-08, 1.115733847167528e-06, 6.297214233448126e-08, 6.029845140529036e-07, 0.004799916834709523, 2.9906147254528776e-07, 1.6109364736218998e-06, 1.660981796907463e-07, 4.0159881558832377e-07, 6.949229373178738e-08, 1.1597954382023634e-06, 2.431388843771899e-07, 9.852183893369158e-07, 6.163501011625408e-05, 0.01718130974072911]",171,0.129677534,1.945163012,0.206593409,1.652747273
194_6e7ca3ab,0.1,0.000154308,2,0.016129032,0.595606854,0.581054902,0.034976 E^{0.5} n P^{-0.5} + 0.007031 n E^{0.5} T_{e}^{0.5} T_{i},"[0.08853770169751884, 1.5709574663442768e-09, 5.234644863429686e-09, -4.5592320559499724e-08, 6.940417277772956e-09, 6.7611879420667734e-09, 4.5786455680433514e-09, 6.524854360356481e-09, 4.083121248627356e-09, 4.4642435873250744e-09, -5.389080671676663e-09, 1.9357670325989713e-09, -1.5184555530301177e-10, -4.120207368377264e-09, -5.070711525101362e-09, -5.27687706139673e-09, -4.022660156534736e-09, -4.06291533739415e-09, -5.0388120504100915e-09, -3.472078977927491e-09, -5.314035756218141e-09, -4.5422656706682025e-09, -5.227362635592992e-09, 1.8514393935626677e-10, -5.756252441975576e-09, -4.5217576900634875e-09, -3.016932264658948e-09, 2.617126188805649e-09, -4.878045327977497e-09, 1.0741162882037403e-09, -1.7258033507235442e-09, -2.330143140276929e-09, -1.3465932128955751e-10, 1.3754070635975016e-10, 6.647530620769672e-10, 7.614393386493577e-10, 8.856686597952609e-10, -2.4946855805330314e-09, 1.3289851503096527e-09, 6.10827546131685e-11, -2.0344979936881505e-09, 9.065713658970541e-10, -3.89879674815165e-09, -1.489943601176058e-09, 1.1051813681733927e-09, -3.2956199225136086e-07, -4.3131687987737307e-07, -6.38219278014129e-08, -1.4460439836455695e-07, -4.5744039414634437e-07, -1.0347029451323466e-06, -6.854307996000989e-08, -7.062726192071128e-08, -3.174660340575687e-07, -6.804503112864869e-08, -1.43097394858273e-07, -5.583455811074855e-07, -7.012176731520495e-07, -9.026957218960393e-08, -1.0594180639162903e-06, -8.624397924537719e-06, -7.31656546910885e-08, -3.8668748370184176e-07, -8.778552979723742e-08, -2.026275682386059e-06, -1.8861899496707608e-06, -3.966569047320696e-07, 8.815946423380591e-08, 1.7317197100778808e-07, 9.892371746558505e-08, 3.5233890436875567e-07, 2.825229521637871e-07, 5.8122674339652045e-08, 1.1165796469861472e-06, 6.299064877321265e-08, 6.033235804880339e-07, 0.004806820533565104, 2.9917291939338126e-07, 1.6141395805829333e-06, 1.6617376658985992e-07, 4.0175043519463546e-07, 6.948925056947639e-08, 1.1621190128063472e-06, 2.431182126948026e-07, 9.868863899180847e-07, 6.288672216314509e-05, 0.01717128598778188]",194,0.129677534,1.945163012,0.206593409,1.652747273
265_756b5f6e,0.007945177,7.17E-05,4,0.032258065,0.144810482,0.15496635,0.057807 E^{0.5} n P^{-0.5} - 0.014885 P^{-1} F dn - 0.038578 T_{e}^{0.5} T_{i}^{0.5} dn - 0.00063404 T_{i}^{0.5} P^{-1} dn,"[0.08853770590416116, 3.7199556474338555e-07, 2.19644143177421e-07, -1.0012794842352278e-07, 2.500913188498221e-07, 1.445004142058775e-07, 2.2901853358418022e-07, 2.2830606444317018e-07, 2.374418314613188e-07, -1.3677175903012468e-07, -5.278365993338156e-08, 3.1562467009167175e-09, -2.1123331412477444e-08, -4.097090649747752e-08, -3.794014690659806e-08, -4.5311567917980235e-08, -2.4041675664375517e-08, -4.365078649720865e-08, -3.866732372220712e-08, -2.9659724715145755e-08, -4.535798831741097e-08, -2.8340942503599472e-08, -5.560986172094945e-08, -2.9614681351843588e-08, -6.686101672800754e-08, -2.8994550975233936e-08, -1.0894507824835477e-06, -1.0616135952227805e-06, -2.6452310199944585e-07, -2.2731292202095173e-07, -3.1899317849409466e-07, -1.8441762422655708e-07, -2.0278901722221791e-07, -1.256863275944451e-07, -8.124242283612796e-08, -1.0689097490159125e-07, -6.071062479868021e-08, -1.4496544658979883e-06, -2.648978543805482e-07, -2.070365555388086e-07, -1.3221871015306365e-07, -7.41967770671236e-08, -2.726194094828251e-07, -1.586513800503911e-07, -6.791770129991387e-08, -0.018814183696007913, -4.302009573576595e-07, 2.732800892516808e-09, -0.0006798461977668053, -2.6492131368674344e-06, -1.100146788996986e-06, -1.4376174204747099e-08, -2.6742283264155747e-07, -1.597266608880691e-06, -2.0725549628575105e-08, -2.015890465276476e-06, -1.3424230288172288e-06, -5.314351283518595e-07, -3.955789651874223e-07, -0.029497473387410312, -1.7142794697678462e-06, -2.281625142458508e-08, -1.7106110376970978e-06, -3.0440172981966105e-07, -3.068245915114532e-06, -6.528252933783511e-07, -1.2106076552611024e-06, 3.0737223497605235e-07, 1.6917445214587586e-07, 4.593292866579287e-07, 3.8959609328780587e-07, 2.02471880428409e-07, -3.9433695667373566e-08, 1.6078094732275919e-06, 1.5046104261673113e-07, 4.883403365346367e-07, 3.3038291524333276e-06, 2.2342088154397254e-07, 5.888850040780406e-07, 1.8659056027255424e-06, 3.0911681441917314e-07, -9.833359768361412e-10, 3.8143635720071353e-06, 2.192982200785501e-06, 8.887637586385416e-07, 4.905231494759873e-05, 0.028380567742624777]",265,0.129677534,1.945163012,0.206593409,1.652747273
313_b73ebb5e,0.008284645,3.00E-07,4,0.032258065,0.145831063,0.155999957,0.057708 E^{0.5} n P^{-0.5} - 0.014917 P^{-1} F dn - 0.038468 T_{e}^{0.5} T_{i}^{0.5} dn - 0.0005134 T_{i}^{0.5} P^{-1} dn,"[0.0885377058873753, 2.9377678740808133e-07, 1.8877351251917995e-07, -1.021362368812118e-07, 2.1568864217299482e-07, 1.3067077489571084e-07, 1.9516554531564384e-07, 1.9870467693722279e-07, 2.0115479312877603e-07, -1.178397601238722e-07, -4.931652154384883e-08, 3.6267817975405306e-09, -1.9441439791159345e-08, -3.828985360538279e-08, -3.5871841359107636e-08, -4.264311033055839e-08, -2.2975353807134164e-08, -4.0699483764007325e-08, -3.652122967182283e-08, -2.7875783935662357e-08, -4.2691626849256133e-08, -2.701860712332174e-08, -5.1825276096700244e-08, -2.6617895684571045e-08, -6.226596966043887e-08, -2.7606762322176473e-08, -6.010010778905309e-07, -6.092799217215815e-07, -2.1811584211245363e-07, -1.8491319402581232e-07, -2.510329279350219e-07, -1.5656238809683294e-07, -1.684774914041812e-07, -1.0910902154423645e-07, -7.161923635457322e-08, -9.319217795212521e-08, -5.4017703159503354e-08, -7.029666656797068e-07, -2.1088204711708418e-07, -1.7162175816302207e-07, -1.1600661694698675e-07, -6.54553724844786e-08, -2.2197143192855412e-07, -1.3599110310304078e-07, -5.994139984246695e-08, -0.01885443345679437, -4.2615803696119215e-07, -3.6592352836270488e-09, -0.0005504839763374337, -2.516942723214323e-06, -1.0824891474151047e-06, -1.967610317352722e-08, -2.686349546656536e-07, -1.5684352052203378e-06, -2.5676178068228777e-08, -1.9756571044538824e-06, -1.304221292298235e-06, -5.274156995636381e-07, -3.9521667453191686e-07, -0.029413751411669964, -1.6997788400848644e-06, -2.770051097408102e-08, -1.7132210790751815e-06, -3.030093331758934e-07, -2.99461762599594e-06, -6.506908900076512e-07, -1.2295190402392837e-06, 3.0032961077677734e-07, 1.6944623060287452e-07, 4.488131014316156e-07, 3.860669280605136e-07, 2.0336437633872716e-07, -2.9746530333291898e-08, 1.5744076702142834e-06, 1.493431728193869e-07, 4.855393441583424e-07, 3.3197448989056665e-06, 2.2391944287648862e-07, 5.893311715320836e-07, 1.7846053461698118e-06, 3.082381771705304e-07, 5.47967811313204e-09, 3.5416339338323935e-06, 1.998712649025077e-06, 8.766734972368766e-07, 4.843353311422646e-05, 0.02833167871919624]",313,0.129677534,1.945163012,0.206593409,1.652747273
132_3a5b6536,0.009087586,1.13E-07,4,0.032258065,0.148410671,0.158682291,0.057531 E^{0.5} n P^{-0.5} - 0.014931 P^{-1} F dn - 0.038166 T_{e}^{0.5} T_{i}^{0.5} dn - 0.00028729 T_{i}^{0.5} P^{-1} dn,"[0.088537705850541, 1.9661141291475172e-07, 1.4266480600367493e-07, -1.0411364663861881e-07, 1.63826215045903e-07, 1.057353428199814e-07, 1.4596426754479464e-07, 1.524828482883505e-07, 1.493427773210404e-07, -8.619443958388174e-08, -4.227555249675956e-08, 4.6354939714435615e-09, -1.591505980880256e-08, -3.274024183448396e-08, -3.14131874525407e-08, -3.707833706838239e-08, -2.044138537315458e-08, -3.4658295606773405e-08, -3.191911366815118e-08, -2.4033537408215436e-08, -3.7125650983003e-08, -2.3993841737240856e-08, -4.4208668577079136e-08, -2.080946987109921e-08, -5.309791317591942e-08, -2.445874265176079e-08, -3.1783075519905546e-07, -3.2066185910951896e-07, -1.5850684607366482e-07, -1.3109091490766743e-07, -1.7306833849117011e-07, -1.1748209710498007e-07, -1.2268601416612856e-07, -8.365073852598574e-08, -5.6058343531704774e-08, -7.177493269509854e-08, -4.275396655552949e-08, -3.475356034239767e-07, -1.461324193536834e-07, -1.2457500367456042e-07, -9.057814948845904e-08, -5.1250528715170056e-08, -1.591210591412917e-07, -1.0318145175506065e-07, -4.692918310772217e-08, -0.01887217800595649, -4.1986280319817676e-07, -1.5570243256117387e-08, -0.00030804361775994534, -2.3204681275895957e-06, -1.0620897964044045e-06, -2.9640328784343686e-08, -2.6697920638150354e-07, -1.5151178144060917e-06, -3.4977960022012716e-08, -1.8454508187095092e-06, -1.2474858039354697e-06, -5.225587021421223e-07, -3.8940247550565274e-07, -0.0291825470970448, -1.7113640049299258e-06, -3.690798349300443e-08, -1.72125380285498e-06, -2.978623052626164e-07, -2.9690783930692068e-06, -6.520991400921036e-07, -1.269848320404683e-06, 2.8538851319626526e-07, 1.6977923027003682e-07, 4.25984260514301e-07, 3.79742344100132e-07, 2.0523678739342054e-07, -1.2273497352953729e-08, 1.5343882262550826e-06, 1.4638296554647556e-07, 4.816101545016058e-07, 3.4899760611469474e-06, 2.2496851389432686e-07, 5.93582850840611e-07, 1.634022703533359e-06, 3.0737739216291726e-07, 1.749094950774774e-08, 3.251916667400942e-06, 1.7044762830620494e-06, 8.622160616896351e-07, 6.301043706061862e-05, 0.028244864306718635]",132,0.129677534,1.945163012,0.206593409,1.652747273
482_78f623a5,0.011920671,1.00E-08,4,0.032258065,0.157472737,0.168070048,0.057511 E^{0.5} n P^{-0.5} - 0.014414 P^{-1} F dn - 0.036656 T_{e}^{0.5} T_{i}^{0.5} dn + 0.0008457 n E T_{e}^{0.5} T_{i}^{0.5},"[0.08853770575268716, 8.154870166470782e-08, 7.156360610763017e-08, -9.949214274578216e-08, 8.291719338666265e-08, 5.985379644480023e-08, 7.193725053652208e-08, 7.822127527356872e-08, 7.258782764821295e-08, -3.698078171073249e-08, -2.7128086640276848e-08, 5.729851274169187e-09, -8.319495592727298e-09, -2.10049778170559e-08, -2.125823841615468e-08, -2.458294570917127e-08, -1.4381183343071773e-08, -2.2012082879316515e-08, -2.1513742657344386e-08, -1.566080685396412e-08, -2.4639529988850654e-08, -1.6814039559528713e-08, -2.8083965189776614e-08, -9.99213480448276e-09, -3.3493281217597465e-08, -1.705415265873281e-08, -1.1667896653304611e-07, -1.036350170592238e-07, -7.812649857038438e-08, -5.92828382345894e-08, -7.871707226346753e-08, -5.969075599634228e-08, -5.862880871307444e-08, -4.271315127796434e-08, -2.9284350595469918e-08, -3.658875368532433e-08, -2.2440677528634667e-08, -1.2132248742259466e-07, -6.429838169427973e-08, -5.916493681114328e-08, -4.8190119102581756e-08, -2.6670039019872156e-08, -7.699818677852755e-08, -5.288831379660235e-08, -2.431015714940835e-08, -0.018219601632425742, -4.0378643377330415e-07, -3.7171385900420854e-08, -1.041849751445203e-05, -1.8664057460161755e-06, -1.03899980902954e-06, -4.77829839107714e-08, -2.3616224102483352e-07, -1.3080963377300337e-06, -5.187109576851927e-08, -1.2962389437848854e-06, -1.1077725052372587e-06, -5.141613423781e-07, -3.3959880492803375e-07, -0.028028411156262725, -1.8998115018777744e-06, -5.36147157994123e-08, -1.6285349428226236e-06, -2.6648537648416076e-07, -3.0089932158951634e-06, -6.69937452953756e-07, -1.2951202466251127e-06, 2.419070648109841e-07, 1.6510488420094152e-07, 3.5310321028762836e-07, 3.555336163468856e-07, 2.059216103477142e-07, 1.8072937240515444e-08, 1.4100987923765313e-06, 1.336530706733398e-07, 4.626177079764131e-07, 4.0319995671518064e-06, 2.22042555845756e-07, 5.977840293914325e-07, 1.219634395875709e-06, 3.038050288938065e-07, 3.907816254142029e-08, 2.9073546815709503e-06, 1.1794302919061603e-06, 8.306386325067957e-07, 0.0003419909380006655, 0.02823491691213947]",482,0.129677534,1.945163012,0.206593409,1.652747273
6_7ba331b3,0.012644285,1.17E-06,4,0.032258065,0.160017532,0.170715498,0.057541 E^{0.5} n P^{-0.5} - 0.014211 P^{-1} F dn - 0.036124 T_{e}^{0.5} T_{i}^{0.5} dn + 0.0013057 n E T_{e}^{0.5} T_{i}^{0.5},"[0.08853770572869946, 6.904387549631311e-08, 6.22109022926457e-08, -9.772762092856136e-08, 7.265169647607087e-08, 5.363068007867908e-08, 6.239558819072632e-08, 6.8719314060899e-08, 6.287200653945188e-08, -3.0951716660891065e-08, -2.5054206148670138e-08, 5.437762952271771e-09, -7.458978060929502e-09, -1.948969419296517e-08, -1.993476722844459e-08, -2.2875050407545238e-08, -1.3689292373578612e-08, -2.0361925479134496e-08, -2.0156409053595758e-08, -1.4661708145517443e-08, -2.2939350591155626e-08, -1.5940621939277295e-08, -2.5886008300170464e-08, -8.776948410237362e-09, -3.072439113967824e-08, -1.6148307750711426e-08, -9.772477471473663e-08, -8.524546074580229e-08, -6.774562299057393e-08, -5.024296706817352e-08, -6.730124356788046e-08, -5.1721138108865454e-08, -5.019480000787641e-08, -3.681711446273331e-08, -2.5140271301358496e-08, -3.1405754316425547e-08, -1.9176033886970153e-08, -1.0109821289901611e-07, -5.4343000722516575e-08, -5.06075315843114e-08, -4.197121432367139e-08, -2.2833652954379722e-08, -6.654115266166698e-08, -4.580676909046983e-08, -2.075245701236961e-08, -0.017963236461087242, -3.9873845929953907e-07, -3.9901871959107997e-08, -5.835467955293511e-06, -1.7836761005577196e-06, -1.0285014058092435e-06, -5.001574041866324e-08, -2.2792260375078868e-07, -1.2608258903174804e-06, -5.390341164434225e-08, -1.2012228500074195e-06, -1.0782988513968528e-06, -5.104226459802732e-07, -3.2713226847226503e-07, -0.027621783545155047, -1.931453832984978e-06, -5.5619411962023876e-08, -1.593288955307306e-06, -2.5849895350188905e-07, -3.0183697873804143e-06, -6.71909433131617e-07, -1.284907330261219e-06, 2.328582031707415e-07, 1.6302331381685707e-07, 3.377156000562427e-07, 3.487308341983989e-07, 2.0477987620813117e-07, 2.192241677631654e-08, 1.3654601345859788e-06, 1.3037015499502652e-07, 4.562211183587521e-07, 3.970374628382897e-06, 2.2014691816488424e-07, 5.956605263011437e-07, 1.1406493668657959e-06, 3.012947319559687e-07, 4.172877724902378e-08, 2.7403761406071667e-06, 1.0667758380943719e-06, 8.181770172426451e-07, 0.0005280240050237116, 0.0282497647592196]",6,0.129677534,1.945163012,0.206593409,1.652747273
